endoderm_NA18511	endoderm_NA18856	endoderm_NA18858	endoderm_NA18912	endoderm_NA19140	endoderm_NA19159	endoderm_NA19160	endoderm_NA19210
ZSWIM5	52	259	1	243	26	17	79	241
HPDL	510	129	24	35	22	8	953	43
MUTYH	140	119	32	86	10	5	254	56
TOE1	327	62	53	83	8	3	598	76
TESK2	98	410	38	397	33	25	248	299
CCDC163	90	26	10	12	6	1	183	21
MMACHC	50	21	10	10	2	0	107	20
PRDX1	30828	7657	6215	7409	724	294	49586	6793
AKR1A1	2630	923	642	726	76	21	5092	666
NASP	7928	2306	1312	1455	216	109	12947	2005
CCDC17	9	1	0	0	0	0	9	4
GPBP1L1	522	435	138	339	33	16	1064	327
TMEM69	323	90	112	68	7	4	553	49
IPP	211	90	42	66	7	1	363	74
MAST2	217	457	69	353	41	23	349	408
PIK3R3	199	257	68	230	28	15	272	275
TSPAN1	8	0	12	2	0	0	19	5
P3R3URF	0	0	0	0	0	0	0	0
POMGNT1	551	102	134	94	11	5	828	76
LURAP1	27	18	25	11	1	2	42	10
RAD54L	201	56	31	55	5	3	289	74
LRRC41	943	272	274	253	34	7	1438	235
UQCRH	16225	3749	3385	3499	394	163	30592	3148
NSUN4	173	91	39	80	7	3	349	46
FAAH	79	14	16	20	1	2	141	19
DMBX1	26	0	1	1	1	1	25	4
TMEM275	0	1	0	0	0	0	3	1
KNCN	0	0	0	0	0	0	0	0
MKNK1	257	67	59	66	10	5	378	58
MOB3C	21	7	3	2	0	1	40	4
ATPAF1	688	212	190	199	14	12	1097	151
TEX38	4	0	1	1	1	0	3	2
EFCAB14	618	257	172	242	24	19	959	202
CYP4B1	117	98	4	184	2	0	141	16
CYP4A11	5	8	0	1	2	1	8	2
CYP4X1	569	462	4	381	58	15	1334	167
CYP4Z1	10	15	0	25	1	2	8	12
CYP4A22	1	1	0	2	0	0	2	0
PDZK1IP1	2	5	0	5	0	0	24	1
TAL1	0	0	0	0	0	0	0	0
STIL	188	158	27	124	8	4	296	117
CMPK1	1239	365	399	411	30	13	2522	256
FOXE3	0	0	2	0	0	0	1	1
FOXD2	6	4	0	0	0	0	7	3
TRABD2B	384	707	5	1288	142	19	482	960
SLC5A9	61	45	0	36	3	0	74	45
SPATA6	263	297	48	268	19	11	512	278
AGBL4	3	39	0	280	2	6	8	9
BEND5	310	59	45	80	9	3	654	40
ELAVL4	229	41	4	16	5	7	146	42
DMRTA2	25	8	28	6	1	1	18	8
FAF1	660	994	154	805	86	51	1106	819
CDKN2C	5	0	4	0	0	0	1	0
C1orf185	0	0	0	0	0	0	0	0
RNF11	607	186	187	203	20	15	1083	162
TTC39A	109	34	57	53	3	1	241	28
EPS15	338	303	108	328	37	17	676	241
OSBPL9	975	569	313	522	37	28	1567	383
NRDC	1504	561	360	520	62	27	2601	422
RAB3B	1293	325	148	402	27	20	1814	329
TXNDC12	74	604	31	438	51	27	159	400
KTI12	215	43	80	54	8	2	381	35
BTF3L4	2466	757	639	535	63	27	4325	507
ZFYVE9	258	426	50	313	55	15	415	288
CC2D1B	125	31	43	34	6	2	198	32
ORC1	109	40	42	35	6	3	184	38
PRPF38A	1159	262	254	204	29	12	1850	198
TUT4	1735	1090	260	762	104	67	2549	1028
GPX7	924	322	96	220	23	16	1205	203
SHISAL2A	31	8	2	10	2	0	69	8
COA7	327	83	66	40	5	3	574	59
ZYG11B	436	239	107	186	30	12	733	155
ZYG11A	24	53	2	88	13	2	67	48
ECHDC2	606	381	235	387	36	7	1221	252
SCP2	2135	550	555	614	69	23	4022	467
PODN	29	0	3	4	0	1	13	10
SLC1A7	24	1	0	1	0	1	57	3
CPT2	379	71	111	50	6	5	603	56
CZIB	1186	250	290	218	17	9	1894	222
MAGOH	2912	598	530	552	64	34	5297	521
LRP8	127	48	23	55	4	3	192	69
DMRTB1	0	1	0	0	0	0	1	0
GLIS1	6	43	0	47	4	0	12	26
NDC1	224	164	56	102	16	11	393	139
YIPF1	314	95	131	82	13	3	546	81
DIO1	33	38	1	47	3	0	112	15
HSPB11	1196	317	404	294	30	9	2341	238
LRRC42	1011	184	274	194	18	14	1754	155
LDLRAD1	1	0	0	0	0	0	0	0
TMEM59	2075	467	933	462	50	34	3361	356
TCEANC2	71	34	27	29	2	1	105	27
CDCP2	0	0	0	0	1	0	2	1
CYB5RL	40	20	29	12	0	1	122	11
MRPL37	1139	274	331	286	26	14	2008	280
SSBP3	2591	1358	230	1146	129	62	3938	1469
ACOT11	49	32	10	60	2	2	113	24
FAM151A	51	56	0	59	2	2	171	41
MROH7	2	9	0	6	0	0	6	5
TTC4	52	141	19	86	7	6	122	100
PARS2	82	20	18	21	2	0	155	22
TTC22	16	7	8	3	0	2	46	5
LEXM	0	0	0	0	0	0	1	0
DHCR24	1409	333	92	350	29	12	2646	256
TMEM61	13	0	12	1	0	0	16	1
BSND	3	1	1	0	0	0	20	0
PCSK9	189	33	3	45	5	0	268	5
USP24	256	379	80	337	27	17	400	333
PLPP3	590	939	69	963	88	46	1115	615
PRKAA2	255	194	64	137	15	16	681	129
FYB2	100	196	12	142	24	12	117	125
C8A	20	19	0	9	2	1	46	2
C8B	19	17	0	10	0	0	14	2
DAB1	259	565	12	343	42	12	256	441
OMA1	374	80	77	80	9	9	729	77
TACSTD2	594	15	3366	19	2	1	754	8
MYSM1	765	411	108	262	32	23	1349	372
JUN	2700	324	1057	927	71	31	3875	138
FGGY	207	222	55	159	27	14	282	163
HOOK1	278	134	130	82	13	2	595	76
CYP2J2	9	2	2	7	1	0	32	5
C1orf87	0	1	0	0	0	0	0	0
NFIA	215	147	23	126	18	4	253	187
TM2D1	765	233	238	210	27	12	1354	200
PATJ	573	1224	180	882	124	53	1183	1136
L1TD1	2436	458	1153	294	34	17	2509	484
KANK4	319	276	72	458	22	9	907	256
USP1	980	253	278	190	15	10	1543	229
DOCK7	508	481	133	328	38	26	804	358
ANGPTL3	41	36	0	1	0	0	87	1
ATG4C	220	140	65	70	10	2	322	112
FOXD3	16	5	15	6	0	0	17	3
ALG6	299	100	71	56	5	2	423	80
ITGB3BP	918	335	236	218	31	13	1881	213
EFCAB7	50	34	23	32	0	2	111	40
PGM1	2351	553	290	603	63	26	4324	784
ROR1	472	988	112	982	110	40	741	1249
UBE2U	0	1	0	0	0	0	0	6
CACHD1	407	744	38	727	123	34	769	557
RAVER2	129	151	46	158	18	6	260	115
JAK1	297	248	194	221	24	9	451	174
AK4	1416	895	118	844	78	21	3350	772
DNAJC6	103	258	13	199	46	14	167	190
LEPROT	1524	402	747	358	38	8	2600	259
LEPR	49	126	12	92	7	1	121	88
PDE4B	5	25	4	38	2	0	15	13
SGIP1	116	281	1	379	18	18	285	113
TCTEX1D1	29	10	0	22	1	0	96	9
INSL5	0	0	0	0	0	0	1	0
WDR78	43	59	15	31	4	4	54	26
MIER1	791	365	218	297	40	15	1374	291
SLC35D1	191	447	47	287	37	9	520	298
C1orf141	4	13	0	6	1	0	17	7
IL23R	0	7	1	1	1	0	1	4
IL12RB2	1	2	0	5	0	0	7	7
SERBP1	8518	2286	2025	1723	222	87	15476	1835
GADD45A	1389	290	744	260	19	14	2352	234
GNG12	219	115	158	141	16	2	547	49
DIRAS3	13	2	8	13	0	0	39	3
WLS	1137	522	270	400	39	34	2304	413
RPE65	0	2	0	0	0	0	0	0
DEPDC1	463	154	83	71	12	5	721	93
LRRC7	40	89	3	190	16	2	68	116
LRRC40	449	178	102	127	26	11	801	160
SRSF11	5585	1616	1193	1334	153	79	9208	1270
ANKRD13C	162	258	69	196	29	8	337	207
HHLA3	179	49	96	51	2	3	449	32
CTH	134	135	37	101	11	4	305	70
PTGER3	8	1	1	8	0	0	9	4
ZRANB2	1845	710	453	608	69	29	3157	496
NEGR1	28	109	1	44	8	1	12	92
LRRIQ3	8	20	4	8	3	1	19	27
FPGT	86	87	25	26	8	2	100	58
TNNI3K	6	24	0	12	1	0	2	33
LRRC53	1	2	0	0	0	1	1	0
ERICH3	6	3	0	1	0	0	1	2
CRYZ	379	183	166	130	11	5	5	127
TYW3	884	356	261	227	27	14	36	219
LHX8	3	0	14	2	0	0	6	1
SLC44A5	85	310	9	219	18	11	61	130
ACADM	1295	502	154	480	45	19	2291	335
RABGGTB	1138	231	304	258	29	7	2231	195
MSH4	0	7	0	5	2	0	0	9
ASB17	0	1	0	0	0	0	0	0
ST6GALNAC3	65	539	23	422	36	92	179	187
ST6GALNAC5	25	97	5	103	20	16	68	108
PIGK	276	134	90	94	15	2	458	80
AK5	12	2	1	6	0	0	8	5
AC118549.1	441	542	98	425	50	30	765	422
USP33	684	355	187	295	36	23	1088	279
MIGA1	176	121	77	115	23	5	369	100
NEXN	289	180	38	204	23	9	640	89
FUBP1	1617	649	282	512	55	38	3002	518
DNAJB4	142	41	40	41	5	2	331	39
GIPC2	98	147	1	150	17	5	260	113
PTGFR	1	1	0	0	0	0	1	1
IFI44L	0	0	27	1	0	0	1	1
IFI44	2	0	1	0	0	0	0	0
ADGRL4	23	5	2	14	1	0	8	3
ADGRL2	508	715	147	448	55	23	827	571
TTLL7	102	73	29	43	5	7	200	37
PRKACB	187	347	35	235	27	20	328	225
SAMD13	15	11	3	6	0	0	40	7
DNASE2B	0	0	0	0	0	0	0	0
RPF1	550	151	147	95	9	6	859	89
GNG5	9509	1913	3124	1843	240	76	17394	1702
SPATA1	10	21	3	18	2	1	22	26
CTBS	266	108	91	45	8	3	381	69
SSX2IP	294	154	69	275	10	2	514	126
LPAR3	17	12	5	3	0	0	28	5
MCOLN2	0	1	4	1	0	1	8	1
WDR63	4	41	5	24	0	1	7	8
MCOLN3	169	82	129	54	4	9	242	13
SYDE2	192	113	104	59	11	3	474	68
C1orf52	905	245	253	243	26	18	1481	196
BCL10	519	142	157	111	16	5	952	93
DDAH1	135	88	77	78	12	5	242	60
CCN1	1143	202	2222	258	10	28	2480	59
ZNHIT6	316	182	116	135	16	4	640	109
COL24A1	0	6	1	6	1	0	3	6
ODF2L	837	255	270	192	28	13	1469	169
CLCA2	0	0	4	0	0	0	0	0
CLCA1	9	0	0	0	0	0	0	0
CLCA4	0	0	0	0	0	0	0	0
SH3GLB1	1201	433	410	399	46	20	2038	259
SELENOF	2164	643	615	610	76	27	4018	478
HS2ST1	465	1234	59	1278	170	37	1023	1025
LMO4	1504	480	588	506	75	28	3265	401
PKN2	930	911	240	722	76	41	1443	910
GTF2B	774	210	348	157	21	8	1171	150
KYAT3	646	290	146	191	35	10	1270	180
RBMXL1	271	57	65	52	5	1	443	53
GBP3	11	0	48	0	0	0	6	0
GBP1	2	4	137	0	0	0	3	0
GBP2	47	10	109	8	0	0	42	4
GBP7	1	3	0	0	0	0	0	0
GBP4	9	5	0	1	0	0	7	2
GBP5	0	1	1	1	0	0	0	0
GBP6	2	0	0	0	0	0	0	1
LRRC8B	217	114	39	61	13	6	303	112
LRRC8C	36	45	4	24	0	2	34	29
LRRC8D	326	479	73	302	34	25	634	312
ZNF326	1738	554	341	348	46	35	2399	380
BARHL2	5	0	0	0	0	0	7	0
ZNF644	998	783	212	735	87	46	1809	530
HFM1	26	123	1	72	13	4	31	82
CDC7	207	153	50	106	11	6	400	124
TGFBR3	63	105	33	106	9	5	119	29
BRDT	6	2	0	1	0	0	0	0
EPHX4	29	9	15	9	1	0	37	4
SETSIP	2	1	1	0	0	0	10	0
BTBD8	65	61	11	34	5	1	119	48
C1orf146	0	1	0	0	0	0	0	0
GLMN	461	288	103	174	28	12	755	217
RPAP2	563	330	133	244	35	18	901	249
GFI1	14	1	1	0	0	0	3	3
EVI5	482	727	168	690	64	29	820	497
RPL5	44273	14105	10924	12193	1293	644	90328	9901
DIPK1A	46	100	13	106	10	7	55	67
MTF2	1485	571	327	433	55	31	2413	468
TMED5	509	155	185	151	20	9	979	133
CCDC18	287	204	94	114	17	15	446	148
DR1	648	170	248	137	20	14	1273	135
FNBP1L	1641	1263	461	882	117	63	3049	971
BCAR3	301	332	56	341	51	23	432	338
DNTTIP2	1208	283	263	244	35	18	1885	236
GCLM	488	133	150	186	22	2	718	152
ABCA4	19	28	11	36	1	1	27	14
ARHGAP29	1410	664	677	491	41	27	2130	479
ABCD3	487	301	192	263	31	10	906	233
F3	366	108	160	74	4	2	304	51
SLC44A3	183	158	79	137	6	9	401	75
CNN3	3631	1270	1131	1101	125	55	7420	827
ALG14	406	173	93	142	20	7	733	152
TLCD4	205	162	60	140	12	10	402	128
RWDD3	37	254	9	147	22	8	49	169
PTBP2	371	1237	83	848	108	62	647	989
DPYD	46	355	2	356	28	6	79	442
SNX7	957	291	155	321	47	13	1821	242
PLPPR5	56	7	1	11	0	0	44	12
PLPPR4	0	0	0	1	0	0	0	0
PALMD	31	7	10	4	0	0	16	6
FRRS1	71	58	10	35	5	3	124	49
AGL	1475	705	141	443	54	23	2076	588
SLC35A3	440	262	125	154	15	8	657	228
MFSD14A	11	243	1	169	20	9	34	171
SASS6	390	152	75	99	17	7	570	110
TRMT13	264	90	49	59	8	5	486	65
LRRC39	2	5	0	4	0	0	1	5
DBT	383	147	77	95	9	4	690	110
RTCA	826	227	265	207	24	7	1347	216
CDC14A	116	234	22	187	19	13	188	244
GPR88	0	0	0	0	0	0	0	0
VCAM1	51	88	2	57	0	0	132	64
EXTL2	701	202	99	137	16	13	1217	162
SLC30A7	286	189	75	231	24	13	579	159
DPH5	504	143	129	85	13	10	980	108
S1PR1	13	5	6	4	0	1	19	4
OLFM3	23	27	14	36	3	2	61	16
COL11A1	196	75	26	65	17	2	256	57
RNPC3	193	108	40	78	10	6	347	70
AMY2B	9	12	0	1	2	1	10	13
AMY2A	0	0	0	0	0	0	0	0
AMY1A	0	2	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0	0
PRMT6	292	53	80	32	2	3	464	56
NTNG1	55	61	7	61	13	5	73	115
VAV3	40	109	24	70	14	9	97	97
SLC25A24	855	247	200	260	29	15	1634	220
NBPF4	0	0	0	0	0	0	0	0
NBPF6	0	0	0	0	0	0	0	0
FAM102B	68	103	44	75	11	4	161	108
HENMT1	80	10	17	10	2	0	133	8
PRPF38B	1661	385	408	311	32	22	2895	299
FNDC7	0	3	0	0	0	0	1	4
STXBP3	467	166	178	143	16	8	689	125
AKNAD1	6	56	1	46	5	2	9	60
GPSM2	416	186	69	106	10	6	578	189
CLCC1	302	108	87	68	11	2	594	49
WDR47	41	28	15	17	2	2	61	23
TAF13	305	93	97	88	8	4	461	66
TMEM167B	276	88	109	62	10	3	466	51
C1orf194	6	4	2	0	0	0	2	2
KIAA1324	73	27	16	13	0	2	69	11
SARS	1063	254	417	265	24	15	1836	258
CELSR2	145	31	67	25	1	2	213	22
PSRC1	393	101	98	53	5	6	785	82
MYBPHL	2	1	18	0	0	0	1	0
SORT1	324	173	307	86	13	6	487	111
PSMA5	3623	858	959	758	104	30	6547	751
SYPL2	0	1	2	1	0	0	1	0
ATXN7L2	26	5	13	4	0	0	30	6
CYB561D1	35	19	13	16	1	1	54	9
AMIGO1	27	6	7	2	0	1	33	1
GPR61	4	0	0	0	0	0	1	0
GNAI3	1775	494	544	437	62	27	3276	369
GNAT2	0	0	0	2	0	0	1	0
AMPD2	174	43	53	25	3	1	272	22
GSTM4	336	80	43	92	14	2	623	40
GSTM2	14	10	3	1	2	2	43	3
GSTM1	0	11	2	5	1	1	17	4
GSTM5	2	2	0	0	0	0	3	1
GSTM3	420	181	164	91	19	7	1003	33
EPS8L3	69	14	0	23	2	0	188	12
CSF1	41	25	10	15	1	0	71	7
AHCYL1	1820	672	486	538	61	25	3207	463
STRIP1	188	63	67	52	8	1	303	45
ALX3	4	0	1	1	0	0	8	1
UBL4B	0	0	0	0	0	0	0	0
SLC6A17	0	0	1	0	0	0	2	1
KCNC4	10	9	10	5	1	0	35	10
RBM15	125	60	41	50	7	3	231	54
SLC16A4	172	109	50	92	5	2	373	60
LAMTOR5	4536	846	1605	915	96	39	8163	687
PROK1	0	0	0	0	0	0	0	0
KCNA10	0	0	0	0	0	0	0	0
KCNA2	0	0	0	0	0	0	1	0
KCNA3	0	0	0	0	0	0	0	0
CD53	6	2	5	0	0	0	3	2
LRIF1	356	167	100	85	8	7	538	124
DRAM2	946	394	216	265	22	16	1967	269
CEPT1	302	197	60	189	19	7	569	125
DENND2D	51	12	41	3	1	0	123	9
CHI3L2	33	1	16	34	1	0	46	4
CHIA	2	0	0	0	0	0	3	1
PIFO	344	42	169	116	4	4	441	77
OVGP1	19	6	3	8	0	1	23	15
WDR77	1425	150	259	257	15	8	2577	148
ATP5PB	3225	825	865	884	93	46	5339	730
C1orf162	0	0	0	0	0	0	6	0
TMIGD3	0	0	0	3	0	0	0	2
ADORA3	0	0	0	0	0	0	0	0
RAP1A	1008	616	409	775	81	19	2017	560
INKA2	40	48	18	40	6	1	42	49
DDX20	345	65	61	63	11	4	532	62
KCND3	33	79	0	119	17	2	114	56
CTTNBP2NL	466	245	147	183	30	22	765	182
WNT2B	75	27	33	25	4	0	158	52
ST7L	169	166	39	125	12	11	312	130
CAPZA1	1652	540	461	416	47	18	3224	381
MOV10	337	135	103	107	22	10	539	91
RHOC	3319	733	1839	920	72	19	5427	542
PPM1J	22	8	10	10	1	1	79	17
TAFA3	7	0	1	5	0	0	17	1
SLC16A1	2337	541	289	492	41	37	4007	601
LRIG2	244	225	42	171	14	9	445	144
MAGI3	359	730	76	612	67	18	696	643
PHTF1	301	166	120	127	10	13	523	144
RSBN1	393	123	102	92	16	5	743	112
PTPN22	6	0	0	0	0	0	1	1
BCL2L15	29	1	1	0	0	0	8	2
AP4B1	64	16	21	14	3	0	67	8
DCLRE1B	85	18	31	18	2	2	146	18
HIPK1	388	140	114	115	10	2	637	110
OLFML3	589	119	425	339	9	11	1592	73
SYT6	56	43	20	66	2	4	126	19
TRIM33	903	537	240	442	45	31	1556	452
BCAS2	1451	315	446	270	30	19	2504	289
DENND2C	872	579	14	426	49	18	1405	554
AMPD1	0	0	0	0	0	0	0	1
NRAS	745	216	187	159	17	13	1340	153
CSDE1	5007	1448	1110	1110	119	78	8930	1055
SIKE1	800	246	181	224	28	13	2045	167
SYCP1	1	0	0	0	0	0	3	1
TSHB	0	0	0	0	0	0	0	0
TSPAN2	272	73	172	61	5	3	403	33
NGF	54	34	14	33	4	1	62	28
VANGL1	450	143	114	143	14	8	669	177
CASQ2	8	1	11	0	0	0	17	0
NHLH2	40	10	13	7	0	0	45	13
SLC22A15	17	59	9	58	8	1	36	66
MAB21L3	8	2	0	4	0	0	12	6
ATP1A1	3598	973	845	852	95	33	5473	701
CD58	175	75	69	112	8	2	282	69
IGSF3	305	108	130	101	8	6	505	100
CD2	2	0	0	0	0	0	10	0
PTGFRN	224	97	90	86	9	8	381	86
CD101	3	4	1	4	0	0	10	14
TTF2	563	188	139	94	18	10	971	139
TRIM45	116	19	28	15	1	2	202	12
VTCN1	288	2	455	1	0	0	346	1
MAN1A2	1009	647	261	822	64	41	1942	522
TENT5C	271	105	6	65	9	4	317	65
GDAP2	206	147	64	138	12	7	394	109
WDR3	280	106	54	92	13	2	517	55
SPAG17	18	34	20	16	2	0	35	28
TBX15	1	3	2	2	0	0	3	2
WARS2	151	139	44	99	11	7	292	92
HAO2	0	2	0	2	0	0	3	0
HSD3B2	0	1	0	0	0	0	0	0
HSD3B1	6	1	7	1	0	0	1	0
ZNF697	50	31	25	18	3	2	82	26
PHGDH	2613	622	1094	380	45	34	4884	500
HMGCS2	1086	404	4	435	25	7	1195	220
REG4	3	2	0	1	0	0	6	1
ADAM30	0	0	0	0	0	0	0	0
NOTCH2	262	145	77	90	9	4	356	77
SEC22B	289	251	77	228	18	13	471	160
AC253572.1	0	0	0	0	0	0	1	0
NBPF26	8	12	1	9	2	1	14	13
PPIAL4A	0	0	0	0	0	0	0	0
FCGR1B	0	0	0	0	0	0	2	0
FAM72B	34	6	4	1	1	0	42	6
SRGAP2C	181	97	23	76	9	5	258	133
HIST2H3PS2	0	0	0	15	1	0	1	0
FAM72C	31	3	4	0	1	0	45	3
IGKV1OR1-1	0	0	0	0	0	0	0	0
PPIAL4E	0	0	0	0	0	0	0	0
NBPF15	101	96	16	120	10	4	172	63
PPIAL4F	0	0	0	0	0	0	0	0
SRGAP2B	53	120	3	120	14	2	109	107
FAM72D	40	6	3	2	1	0	66	2
PPIAL4D	0	0	0	0	0	0	0	0
NBPF20	54	12	0	12	2	1	92	13
GPR89A	235	92	32	94	14	2	345	86
PDZK1	770	475	1	535	59	14	1206	374
CD160	7	1	1	9	1	1	25	2
RNF115	1542	342	272	630	62	20	2273	306
POLR3C	472	126	85	146	25	5	691	95
NUDT17	53	11	11	7	1	1	76	7
PIAS3	266	45	72	49	4	2	408	33
ANKRD35	36	8	34	9	1	0	113	8
ITGA10	5	2	0	0	0	0	3	7
PEX11B	206	32	58	43	7	0	328	34
RBM8A	9140	1121	1223	1718	177	74	12947	1203
LIX1L	176	15	9	42	1	0	133	16
ANKRD34A	4	1	0	0	0	1	4	2
POLR3GL	483	71	93	81	15	5	589	71
TXNIP	1273	291	198	250	37	8	1504	189
HJV	5	5	0	3	0	0	7	0
NBPF10	14	4	6	12	2	0	12	1
NOTCH2NLA	1	6	0	2	0	0	3	4
PPIAL4H	0	0	0	0	0	0	1	0
NBPF12	86	253	5	198	25	8	128	109
PRKAB2	1651	451	71	462	82	26	2721	379
FMO5	321	172	2	228	11	11	518	144
CHD1L	1628	20	92	35	1	3	2839	12
BCL9	363	215	55	246	32	15	673	196
ACP6	185	46	19	42	2	0	359	51
GJA5	29	3	17	5	0	0	16	11
GJA8	0	0	0	0	0	0	0	0
GPR89B	159	76	29	112	7	3	300	67
NBPF11	123	117	22	148	7	2	177	120
PPIAL4G	0	3	0	1	0	0	1	0
NBPF14	25	6	7	14	1	0	59	15
NOTCH2NLB	0	0	0	0	0	0	0	0
NUDT4B	0	1	0	4	0	0	0	5
PDE4DIP	322	73	82	58	7	3	396	41
NBPF9	39	43	7	29	3	3	63	41
NOTCH2NLC	6	13	1	24	3	3	8	18
NBPF19	0	9	0	15	2	0	0	4
PPIAL4C	0	0	0	0	0	0	0	0
FCGR1A	0	0	1	0	0	0	2	0
HIST2H2BF	35	24	6	10	5	1	38	6
HIST2H3D	4	0	1	0	1	0	0	0
HIST2H4A	5	0	3	0	0	0	8	2
HIST2H3C	0	0	0	0	0	0	0	0
HIST2H2AA3	0	0	0	0	0	0	0	0
HIST2H2AA4	0	58	0	38	3	0	0	10
HIST2H3A	0	0	0	0	0	0	0	0
HIST2H4B	0	3	0	4	1	0	0	2
HIST2H2BE	54	22	21	19	4	0	108	2
HIST2H2AC	378	31	46	30	7	2	491	27
HIST2H2AB	30	1	1	2	3	0	62	8
BOLA1	372	46	88	73	9	3	678	36
SV2A	339	46	100	71	11	5	650	35
SF3B4	1576	167	321	188	27	9	2308	174
MTMR11	38	3	59	5	0	1	81	1
OTUD7B	311	191	79	240	27	7	525	154
VPS45	369	133	50	173	25	5	553	129
PLEKHO1	1679	193	203	235	37	10	2159	157
ANP32E	3938	708	646	612	92	28	7227	393
CA14	405	66	62	55	10	4	725	40
APH1A	2156	254	555	295	26	13	3496	251
C1orf54	322	128	53	98	14	6	712	75
CIART	113	13	28	18	2	0	239	22
MRPS21	6010	903	979	1172	164	53	10449	808
PRPF3	499	144	90	216	11	3	910	122
RPRD2	635	485	74	491	40	19	1041	353
TARS2	411	91	61	77	8	2	661	70
ECM1	96	6	18	20	1	2	170	14
ADAMTSL4	84	7	133	6	0	0	103	3
MCL1	1805	335	573	502	29	23	3081	209
ENSA	5135	817	1076	1090	112	39	6530	842
GOLPH3L	490	101	111	134	9	8	846	88
HORMAD1	0	0	0	1	0	0	0	0
CTSS	3	2	13	4	0	1	1	3
CTSK	78	12	10	30	2	0	109	20
ARNT	300	177	62	237	22	8	587	117
CTXND2	0	0	0	0	0	0	0	0
SETDB1	406	167	63	175	24	8	595	133
CERS2	1532	235	287	395	50	7	2887	197
ANXA9	122	28	102	35	6	1	329	18
MINDY1	76	6	20	8	5	0	77	1
PRUNE1	284	61	42	74	4	2	545	41
BNIPL	50	5	80	1	1	1	208	7
C1orf56	488	63	143	85	12	1	877	49
CDC42SE1	979	123	446	157	18	12	1858	108
MLLT11	1491	157	659	151	22	10	1498	122
GABPB2	212	46	26	65	8	1	275	46
SEMA6C	192	47	10	45	6	0	366	34
TNFAIP8L2	0	0	0	0	0	0	2	0
SCNM1	839	123	175	179	24	5	1404	121
LYSMD1	108	16	17	13	0	1	162	11
TMOD4	0	0	0	0	0	1	0	0
VPS72	1319	189	246	209	27	10	2094	188
PIP5K1A	667	412	111	479	58	20	887	352
PSMD4	4017	587	717	808	67	25	6543	529
ZNF687	268	28	21	45	6	1	353	17
PI4KB	359	89	104	112	8	7	562	78
RFX5	193	37	45	37	4	1	292	36
SELENBP1	865	104	87	161	22	2	1414	75
PSMB4	4155	723	921	885	71	38	8517	551
POGZ	1485	570	179	586	91	41	2473	536
CGN	852	249	252	214	30	15	1499	164
TUFT1	135	35	67	72	3	8	226	30
SNX27	832	264	184	351	28	8	1458	191
CELF3	9	4	2	5	0	0	3	4
RIIAD1	1	0	1	3	0	0	10	3
MRPL9	1748	277	395	283	27	19	2902	190
OAZ3	72	15	23	8	0	0	105	4
TDRKH	86	13	16	21	4	0	160	14
LINGO4	0	0	0	0	0	0	0	0
RORC	0	0	1	0	0	0	0	0
C2CD4D	9	1	7	1	0	0	20	0
THEM5	0	0	0	0	0	0	0	0
THEM4	300	52	58	70	15	3	529	36
S100A10	82042	17549	13117	33641	3533	636	184563	13783
S100A11	41617	5314	25032	8603	962	189	77746	4175
TCHHL1	0	0	0	0	0	0	0	0
TCHH	54	1	16	0	0	0	19	4
RPTN	0	0	0	0	0	0	0	0
HRNR	0	0	0	0	0	0	0	0
FLG	0	0	0	0	0	0	1	0
FLG2	0	0	0	0	0	0	0	0
CRNN	0	0	0	0	0	0	0	0
LCE5A	0	0	0	0	0	0	0	0
CRCT1	0	0	0	0	0	0	30	0
LCE3E	0	0	0	0	0	0	0	0
LCE3D	0	0	0	0	0	0	0	0
LCE3C	0	0	0	0	0	0	0	0
LCE3B	0	0	0	0	0	0	0	0
LCE3A	0	0	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0	0	0
LCE2C	0	0	0	0	0	0	0	0
LCE2B	0	0	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0	0	0
LCE4A	0	0	0	0	0	0	0	0
C1orf68	0	0	0	0	0	0	0	0
KPRP	0	0	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0	0	0
LCE1E	0	0	0	0	0	0	0	0
LCE1D	0	0	0	0	0	0	0	0
LCE1C	0	0	0	0	0	0	0	0
LCE1B	0	0	0	0	0	0	0	0
LCE1A	0	0	0	0	0	0	0	0
LCE6A	0	0	0	0	0	0	0	0
AL162596.1	0	0	0	0	0	0	0	0
SMCP	0	0	0	0	0	0	0	0
IVL	6	0	4	0	0	0	0	0
SPRR5	0	0	0	0	0	0	0	0
SPRR4	0	0	0	0	0	0	0	0
SPRR1A	0	0	0	0	0	0	0	0
SPRR3	1152	1	1495	0	0	0	329	0
SPRR1B	39	0	88	0	0	0	45	0
SPRR2D	1	0	84	0	0	0	8	0
SPRR2A	1	0	290	0	0	0	2	0
SPRR2B	0	0	0	0	0	0	0	0
SPRR2E	2	0	0	0	0	0	1	0
SPRR2F	67	0	11	0	0	0	12	0
SPRR2G	0	0	0	0	0	0	0	0
LELP1	0	1	0	0	0	0	0	0
PRR9	1	0	1	0	0	0	1	0
LOR	0	0	0	0	0	0	0	1
PGLYRP3	0	0	0	0	0	0	0	0
PGLYRP4	10	0	21	0	0	0	13	0
S100A9	1967	0	2042	1	0	0	888	0
S100A12	0	0	0	0	0	0	2	0
