mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
RPS8	71409	9352	5219	38062	6338	5343	146492	1478
BEST4	21	5	3	17	1	2	62	0
PLK3	69	5	10	22	4	4	114	1
TCTEX1D4	2	1	0	2	0	1	1	0
BTBD19	39	6	2	29	3	2	75	1
PTCH2	62	45	2	73	24	18	97	5
EIF2B3	587	128	40	607	131	71	1168	14
HECTD3	191	12	20	67	7	9	334	3
UROD	2054	158	88	817	140	86	3499	34
ZSWIM5	28	60	1	358	57	16	46	18
HPDL	249	34	29	85	31	22	330	2
MUTYH	105	41	10	186	40	21	241	4
TOE1	243	33	16	119	21	19	592	3
TESK2	53	40	6	271	31	22	97	7
CCDC163	28	3	1	7	3	3	24	0
MMACHC	47	6	2	33	8	3	80	2
PRDX1	18267	2210	2983	10342	1766	1161	31519	401
AKR1A1	1724	311	235	987	188	124	4229	48
NASP	8402	1992	581	6383	1393	986	18337	342
CCDC17	4	2	2	3	0	0	16	0
GPBP1L1	443	180	34	807	120	98	1098	31
TMEM69	400	51	38	240	30	29	811	8
IPP	204	40	11	170	38	30	406	7
MAST2	204	137	17	716	113	58	340	29
PIK3R3	213	220	8	667	137	133	485	55
TSPAN1	5	0	0	0	0	0	2	1
P3R3URF	0	0	0	0	0	0	0	0
POMGNT1	522	42	20	173	35	22	1041	9
LURAP1	46	13	6	36	8	5	80	0
RAD54L	146	38	14	111	20	22	298	7
LRRC41	1278	104	59	601	111	84	2156	21
UQCRH	13849	1527	1395	6927	1122	784	27384	226
NSUN4	169	30	8	163	27	13	360	4
FAAH	57	7	5	24	0	0	109	1
DMBX1	4	0	0	4	0	0	18	0
TMEM275	1	0	0	1	0	0	1	0
KNCN	0	0	0	0	0	0	0	0
MKNK1	221	26	10	140	30	14	435	4
MOB3C	32	1	1	10	0	0	54	1
ATPAF1	624	75	72	372	65	45	1211	20
TEX38	0	0	0	0	0	0	4	0
EFCAB14	421	80	36	352	42	34	776	6
CYP4B1	0	1	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	1	0
CYP4X1	33	3	1	28	7	5	59	0
CYP4Z1	0	1	0	8	0	0	0	0
CYP4A22	0	1	0	0	0	0	0	0
PDZK1IP1	0	0	0	0	0	0	1	0
TAL1	5	1	0	9	0	0	26	0
STIL	183	98	18	424	79	44	352	10
CMPK1	902	125	65	534	72	61	1649	24
FOXE3	0	0	0	1	0	0	0	0
FOXD2	3	0	0	3	1	0	4	0
TRABD2B	118	120	3	533	46	43	186	41
SLC5A9	4	0	0	12	3	1	4	0
SPATA6	220	143	23	567	80	56	510	22
AGBL4	18	9	0	1256	12	23	8	3
BEND5	435	11	20	120	26	21	940	5
ELAVL4	36	15	2	42	9	15	65	1
DMRTA2	12	5	0	15	0	5	15	0
FAF1	547	438	38	2158	344	226	1242	58
CDKN2C	4	0	0	0	1	1	18	0
C1orf185	0	0	0	0	0	0	0	0
RNF11	517	51	26	317	43	37	978	13
TTC39A	8	1	6	27	7	0	42	2
EPS15	314	126	21	727	113	77	641	29
OSBPL9	1146	219	66	1286	218	165	2093	42
NRDC	1587	290	93	1380	214	174	3158	57
RAB3B	142	37	86	212	14	12	419	6
TXNDC12	86	242	11	839	148	123	144	37
KTI12	236	16	28	95	13	13	420	7
BTF3L4	1846	326	185	1195	222	153	4033	42
ZFYVE9	247	204	12	827	157	82	474	29
CC2D1B	145	14	8	80	13	6	215	2
ORC1	122	32	19	123	38	11	292	5
PRPF38A	1298	130	87	640	102	61	2335	29
TUT4	1446	364	70	1645	279	188	2730	78
GPX7	1118	108	47	385	56	54	2014	11
SHISAL2A	24	12	1	26	2	0	45	3
COA7	285	38	27	173	27	23	675	12
ZYG11B	466	104	24	537	81	67	887	14
ZYG11A	4	5	4	34	3	5	13	1
ECHDC2	105	15	13	126	29	11	372	2
SCP2	1331	142	114	750	140	76	2548	33
PODN	0	0	0	3	0	0	3	0
SLC1A7	1	0	0	0	0	0	2	0
CPT2	361	39	24	177	25	18	720	2
CZIB	1221	144	98	511	88	90	2642	28
MAGOH	2858	300	190	1414	270	164	5826	50
LRP8	85	41	13	147	27	18	178	3
DMRTB1	0	0	1	0	0	0	1	0
GLIS1	1	10	0	52	2	2	12	2
NDC1	181	103	24	296	68	30	401	18
YIPF1	355	34	30	179	28	18	663	10
DIO1	0	3	0	3	0	2	0	0
HSPB11	1720	203	105	904	134	149	3879	45
LRRC42	1044	69	53	436	96	49	2179	11
LDLRAD1	1	0	0	0	0	0	0	0
TMEM59	2742	280	182	1403	242	201	5448	50
TCEANC2	67	18	9	66	9	9	182	1
CDCP2	0	0	0	0	0	0	1	0
CYB5RL	53	17	5	21	5	7	133	2
MRPL37	1212	113	163	654	112	76	2357	20
SSBP3	1423	300	85	1576	271	180	2988	58
ACOT11	30	9	2	37	4	4	53	3
FAM151A	3	0	0	4	1	0	12	0
MROH7	0	1	1	8	1	1	6	0
TTC4	64	69	7	234	46	31	145	12
PARS2	74	6	14	46	11	7	156	1
TTC22	1	0	0	1	2	0	4	0
LEXM	0	0	0	2	0	0	0	0
DHCR24	904	131	81	560	115	81	1934	20
TMEM61	0	0	0	2	0	0	2	0
BSND	0	0	3	0	0	0	0	0
PCSK9	79	20	8	46	13	13	250	1
USP24	227	164	20	779	137	84	493	40
PLPP3	294	109	27	522	112	59	547	22
PRKAA2	66	51	14	160	25	21	213	3
FYB2	422	16	7	329	35	43	663	0
C8A	0	0	0	0	0	0	1	0
C8B	0	0	0	0	0	0	0	0
DAB1	131	195	9	1249	172	83	378	59
OMA1	212	25	13	91	20	9	398	2
TACSTD2	7	0	26	0	0	0	11	0
MYSM1	332	81	49	448	57	49	760	7
JUN	1018	85	128	773	61	43	2156	9
FGGY	106	129	9	493	84	41	267	15
HOOK1	113	22	35	84	15	10	344	1
CYP2J2	8	0	0	1	0	3	11	0
C1orf87	0	0	0	2	0	0	0	1
NFIA	281	54	15	370	74	23	427	27
TM2D1	665	113	52	420	88	42	1299	15
PATJ	155	98	19	571	87	75	295	13
L1TD1	925	201	711	1279	115	61	1822	29
KANK4	28	10	6	62	9	4	78	0
USP1	1088	171	70	733	135	89	2260	35
DOCK7	644	231	24	1104	234	127	1175	48
ANGPTL3	0	0	0	2	1	0	2	0
ATG4C	212	93	31	298	69	32	459	15
FOXD3	11	7	21	9	2	5	39	1
ALG6	183	42	21	120	34	19	287	4
ITGB3BP	1093	250	66	994	220	116	2834	40
EFCAB7	75	44	4	128	20	11	237	7
PGM1	1233	115	185	796	111	95	2889	26
ROR1	594	577	40	3281	612	398	1198	99
UBE2U	0	0	0	5	0	0	0	1
CACHD1	269	297	30	1833	285	167	632	67
RAVER2	168	68	8	272	66	41	327	12
JAK1	798	136	29	555	103	88	1262	13
AK4	275	44	45	299	53	65	906	13
DNAJC6	92	57	4	327	82	40	139	15
LEPROT	2444	204	93	918	124	164	4110	33
LEPR	306	117	4	492	59	103	575	8
PDE4B	14	14	3	114	21	7	33	5
SGIP1	33	19	1	34	11	11	54	3
TCTEX1D1	23	4	2	9	9	2	72	1
INSL5	0	0	0	0	0	0	0	0
WDR78	53	53	1	122	18	19	128	6
MIER1	864	184	71	860	132	131	1814	33
SLC35D1	110	41	6	238	39	25	184	10
C1orf141	0	0	0	0	0	0	0	0
IL23R	0	0	0	7	0	0	0	0
IL12RB2	2	0	0	22	1	3	5	3
SERBP1	9198	1360	854	6019	1025	752	18578	230
GADD45A	1000	116	116	623	50	38	2543	35
GNG12	620	88	34	404	81	69	1077	9
DIRAS3	23	0	2	22	0	1	40	0
WLS	1473	399	58	2924	302	175	4190	61
RPE65	2	3	0	7	0	0	2	0
DEPDC1	710	132	37	418	106	72	1327	20
LRRC7	62	36	1	559	21	7	120	13
LRRC40	399	101	29	368	89	63	875	17
SRSF11	5544	790	398	3515	585	476	11391	144
ANKRD13C	214	122	16	659	121	79	455	18
HHLA3	189	38	21	195	31	26	619	7
CTH	92	45	19	133	22	12	205	8
PTGER3	12	0	1	7	0	0	48	0
ZRANB2	2078	334	129	1798	300	233	4126	57
NEGR1	3	33	0	102	6	13	13	4
LRRIQ3	9	14	1	22	6	5	28	4
FPGT	94	24	8	85	29	14	101	7
TNNI3K	0	10	0	33	2	6	3	3
LRRC53	0	0	0	0	0	0	1	0
ERICH3	32	0	0	2	4	3	60	0
CRYZ	475	67	22	245	49	26	35	7
TYW3	1021	170	87	636	131	81	38	23
LHX8	218	15	2	96	6	6	224	1
SLC44A5	19	67	4	358	41	11	61	2
ACADM	1104	138	62	621	130	90	2128	17
RABGGTB	1291	88	108	490	66	53	2188	10
MSH4	0	3	0	19	5	6	5	4
ASB17	1	1	0	1	0	0	1	0
ST6GALNAC3	582	955	11	5223	865	932	1576	150
ST6GALNAC5	21	82	1	427	19	13	53	11
PIGK	298	59	25	317	57	41	770	15
AK5	15	4	2	61	5	0	85	2
AC118549.1	383	170	29	1014	143	124	857	29
USP33	774	207	41	996	145	113	1683	38
MIGA1	218	58	7	301	42	46	466	7
NEXN	608	91	58	1111	210	101	1325	12
FUBP1	1926	422	84	1814	311	232	4145	68
DNAJB4	246	29	13	93	16	26	492	3
GIPC2	0	2	0	13	0	2	5	0
PTGFR	41	3	1	6	1	8	102	0
IFI44L	8	0	0	4	0	0	3	0
IFI44	1	0	0	0	0	0	0	0
ADGRL4	12	7	0	18	3	3	24	0
ADGRL2	800	291	41	2922	508	527	1282	57
TTLL7	38	22	2	124	13	9	149	3
PRKACB	259	214	9	1053	144	108	588	33
SAMD13	24	8	0	16	6	1	49	2
DNASE2B	0	0	0	0	0	0	0	0
RPF1	609	89	50	387	63	44	1267	10
GNG5	13007	1238	591	5321	906	662	27207	221
SPATA1	14	10	1	71	6	6	18	0
CTBS	226	32	12	128	22	18	497	4
SSX2IP	383	53	14	362	87	67	787	23
LPAR3	30	8	7	33	1	4	23	1
MCOLN2	4	3	0	3	1	0	27	0
WDR63	50	37	0	143	65	28	55	6
MCOLN3	550	66	20	280	101	59	894	8
SYDE2	334	34	13	311	47	49	484	10
C1orf52	875	110	77	548	78	63	1763	13
BCL10	413	58	33	287	44	33	891	6
DDAH1	241	78	12	251	91	62	402	30
CCN1	1446	61	168	870	117	124	4172	17
ZNHIT6	380	82	32	424	84	60	901	13
COL24A1	7	21	0	41	11	6	28	4
ODF2L	947	147	47	733	126	90	2241	26
CLCA2	0	0	0	1	0	0	0	0
CLCA1	0	0	0	0	0	0	0	0
CLCA4	0	0	0	0	0	0	0	0
SH3GLB1	1307	134	104	851	131	113	2371	29
SELENOF	1901	276	154	1221	183	178	4039	50
HS2ST1	254	229	17	1203	253	125	521	60
LMO4	1096	203	124	892	155	119	2297	36
PKN2	2009	545	48	2970	504	528	2841	94
GTF2B	973	108	63	520	97	69	1895	23
KYAT3	655	122	24	487	111	67	1290	25
RBMXL1	275	33	24	131	20	17	475	4
GBP3	23	0	1	5	2	4	44	0
GBP1	2	2	1	0	2	0	4	0
GBP2	27	1	1	10	0	1	15	0
GBP7	1	0	0	0	0	0	16	0
GBP4	436	26	18	154	18	26	514	6
GBP5	4	2	0	4	0	0	7	0
GBP6	2	0	0	1	0	0	3	1
LRRC8B	62	57	20	96	30	20	191	7
LRRC8C	35	16	3	63	21	14	94	3
LRRC8D	195	135	22	466	103	61	402	24
ZNF326	1433	246	110	1244	214	168	2611	45
BARHL2	1	0	0	3	2	0	1	0
ZNF644	1086	379	60	2166	427	280	2049	53
HFM1	35	78	1	328	77	44	64	7
CDC7	258	126	20	393	98	54	469	17
TGFBR3	1014	232	16	681	80	161	1396	28
BRDT	0	0	0	1	0	0	1	0
EPHX4	6	4	2	3	4	1	17	0
SETSIP	3	0	1	0	0	0	4	0
BTBD8	60	24	3	102	18	13	157	4
C1orf146	0	0	0	0	0	1	0	0
GLMN	563	151	24	628	113	85	1103	30
RPAP2	667	159	39	771	151	113	1410	34
GFI1	2	2	0	3	0	0	3	0
EVI5	602	279	17	1551	211	164	1229	40
RPL5	44642	5563	3480	26767	4025	3053	91226	853
DIPK1A	51	57	3	327	50	27	78	6
MTF2	1478	299	120	1413	287	159	3051	74
TMED5	479	67	35	318	61	35	819	10
CCDC18	373	146	27	441	125	70	830	36
DR1	763	94	62	398	99	54	1513	19
FNBP1L	977	353	80	1620	317	231	2096	59
BCAR3	417	182	7	1084	179	91	599	29
DNTTIP2	1268	157	110	760	128	104	2534	42
GCLM	344	25	35	153	40	30	504	9
ABCA4	9	14	1	85	12	13	29	6
ARHGAP29	1500	232	36	1477	202	255	2491	37
ABCD3	389	105	19	429	93	77	686	18
F3	288	10	20	94	7	26	342	0
SLC44A3	20	12	4	46	4	11	70	0
CNN3	4440	527	173	2246	419	349	8099	75
ALG14	355	52	23	206	38	40	663	6
TLCD4	40	11	4	33	4	8	84	0
RWDD3	31	84	2	446	63	37	70	9
PTBP2	382	602	40	2892	488	324	1010	119
DPYD	5	13	0	107	8	11	11	2
SNX7	752	102	38	551	129	62	1804	18
PLPPR5	150	36	8	271	46	3	355	1
PLPPR4	53	28	4	111	14	9	193	5
PALMD	5	1	0	12	3	0	63	1
FRRS1	34	21	1	96	8	7	75	4
AGL	551	118	45	519	78	54	1100	15
SLC35A3	327	111	20	391	82	56	664	17
MFSD14A	15	110	0	480	66	62	27	19
SASS6	317	86	29	260	75	47	713	13
TRMT13	361	52	21	265	49	43	712	8
LRRC39	4	8	0	24	1	2	6	0
DBT	293	70	25	241	42	34	655	10
RTCA	690	91	51	464	74	61	1500	13
CDC14A	111	137	7	594	126	83	230	27
GPR88	0	0	0	0	0	0	0	0
VCAM1	46	4	1	5	3	7	144	3
EXTL2	913	105	48	516	80	62	2044	25
SLC30A7	284	77	14	368	60	60	550	15
DPH5	584	79	27	306	40	55	1319	13
S1PR1	140	10	11	65	16	7	264	0
OLFM3	15	23	2	104	13	17	57	2
COL11A1	228	55	10	557	63	73	691	12
RNPC3	172	37	5	198	24	28	362	8
AMY2B	7	7	0	17	5	2	9	0
AMY2A	0	1	0	0	0	0	1	0
AMY1A	0	0	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0	0
PRMT6	279	25	28	119	24	10	500	10
NTNG1	6	6	3	46	3	13	27	1
VAV3	19	71	2	163	27	9	71	15
SLC25A24	739	114	12	597	117	70	1558	15
NBPF4	0	0	0	0	0	0	0	0
NBPF6	0	0	0	0	0	0	0	0
FAM102B	63	51	12	230	58	31	163	9
HENMT1	118	8	6	41	8	4	285	1
PRPF38B	1527	170	124	791	137	127	3075	36
FNDC7	0	0	0	2	2	1	0	0
STXBP3	419	77	22	419	56	58	730	14
AKNAD1	7	18	0	70	12	4	8	5
GPSM2	203	90	11	225	43	42	567	14
CLCC1	234	12	18	98	13	19	548	4
WDR47	67	13	3	122	17	11	120	1
TAF13	268	37	20	191	20	16	447	5
TMEM167B	354	34	22	142	24	21	595	7
C1orf194	5	2	0	1	2	1	3	0
KIAA1324	10	10	0	22	2	1	6	0
SARS	1315	149	115	707	118	112	2510	20
CELSR2	59	8	7	56	5	5	134	1
PSRC1	430	104	60	267	62	47	1326	17
MYBPHL	0	0	0	0	0	0	5	1
SORT1	167	30	27	136	24	28	347	7
PSMA5	3564	359	304	1664	277	205	6863	60
SYPL2	0	0	2	1	0	1	1	0
ATXN7L2	33	5	8	16	2	6	74	2
CYB561D1	24	6	4	34	2	3	68	3
AMIGO1	10	0	1	4	0	0	40	0
GPR61	0	0	0	0	0	0	4	0
GNAI3	1859	243	128	1174	213	144	3990	29
GNAT2	1	0	0	0	0	0	1	0
AMPD2	283	17	23	65	13	16	474	2
GSTM4	314	21	19	135	24	8	666	2
GSTM2	52	9	0	25	3	2	119	1
GSTM1	0	4	0	18	6	2	48	0
GSTM5	1	1	0	0	0	9	39	0
GSTM3	1778	134	34	323	146	111	3721	22
EPS8L3	0	0	0	1	1	0	1	0
CSF1	150	6	5	42	6	7	188	0
AHCYL1	2212	275	141	1096	196	156	3848	30
STRIP1	264	37	18	163	33	19	500	8
ALX3	53	10	1	24	13	4	156	3
UBL4B	0	0	0	0	0	0	5	0
SLC6A17	6	1	1	1	1	1	6	0
KCNC4	37	2	4	44	2	2	35	0
RBM15	130	32	13	132	25	16	357	7
SLC16A4	72	32	5	88	10	15	121	3
LAMTOR5	4397	376	375	1983	341	231	8831	83
PROK1	76	3	2	89	6	1	53	0
KCNA10	0	0	0	0	0	0	0	0
KCNA2	1	0	0	2	0	0	2	0
KCNA3	2	0	0	0	0	0	1	0
CD53	8	0	3	2	0	0	13	0
LRIF1	330	67	28	216	37	46	532	17
DRAM2	896	128	40	698	94	67	1826	22
CEPT1	278	67	10	432	54	47	531	12
DENND2D	18	0	1	0	1	0	32	0
CHI3L2	2	1	1	12	1	0	8	0
CHIA	0	0	0	1	0	0	0	0
PIFO	129	10	35	83	6	6	126	4
OVGP1	10	0	1	5	0	1	10	0
WDR77	1027	63	108	256	38	39	1635	8
ATP5PB	3468	419	271	2151	380	249	6772	81
C1orf162	2	0	0	0	1	1	3	0
TMIGD3	0	1	0	1	0	1	0	0
ADORA3	0	0	0	0	0	0	0	0
RAP1A	640	121	57	628	92	83	1316	21
INKA2	29	11	15	50	5	7	55	2
DDX20	332	46	19	202	37	22	682	3
KCND3	26	0	1	49	1	10	22	1
CTTNBP2NL	375	104	18	484	78	52	829	17
WNT2B	90	12	2	115	14	14	203	12
ST7L	171	87	13	432	64	53	396	18
CAPZA1	1830	268	93	1230	202	167	3509	37
MOV10	336	45	16	203	30	22	652	7
RHOC	3797	245	233	1276	171	148	6251	43
PPM1J	19	3	1	60	2	2	74	2
TAFA3	6	0	0	1	0	0	9	0
SLC16A1	1950	314	113	1721	238	140	3464	75
LRIG2	193	54	15	341	47	48	432	12
MAGI3	276	231	20	2179	265	167	637	44
PHTF1	508	126	29	526	87	88	914	25
RSBN1	418	65	21	254	60	39	945	19
PTPN22	0	2	0	3	0	0	0	0
BCL2L15	2	0	0	1	0	2	3	0
AP4B1	84	15	8	45	14	5	138	1
DCLRE1B	114	11	7	40	9	11	275	2
HIPK1	325	71	27	207	45	34	640	11
OLFML3	1737	67	169	627	83	63	2872	26
SYT6	46	10	24	57	10	6	93	2
TRIM33	738	213	59	1001	220	135	1506	35
BCAS2	1571	174	116	817	155	99	3461	36
DENND2C	35	6	9	107	21	8	113	1
AMPD1	0	0	0	0	0	0	0	0
NRAS	634	91	49	387	82	55	1440	18
CSDE1	4893	746	300	2887	557	404	9901	107
SIKE1	703	92	54	425	76	67	1693	17
SYCP1	0	0	0	0	0	0	2	0
TSHB	5	0	0	2	0	1	22	0
TSPAN2	33	24	11	46	5	8	165	0
NGF	41	5	3	101	22	20	80	0
VANGL1	161	21	13	136	29	22	294	2
CASQ2	5	0	1	7	1	0	8	0
NHLH2	32	3	2	38	3	3	69	1
SLC22A15	20	19	2	244	27	25	44	4
MAB21L3	1	0	0	1	0	2	5	0
ATP1A1	2345	147	133	830	116	106	3593	26
CD58	161	36	7	225	36	26	309	9
IGSF3	473	79	21	562	73	42	1046	25
CD2	0	0	0	1	0	0	5	0
PTGFRN	387	60	33	250	56	40	707	14
CD101	12	7	1	22	11	4	18	7
TTF2	620	126	49	384	90	73	1150	11
TRIM45	37	11	2	29	1	1	125	2
VTCN1	1	1	7	3	0	1	7	0
MAN1A2	980	231	32	1152	200	169	1857	40
TENT5C	30	13	0	45	4	11	29	4
GDAP2	180	55	10	297	39	19	377	7
WDR3	335	72	22	243	62	42	691	8
SPAG17	16	20	0	78	19	11	78	4
TBX15	3	1	0	8	2	1	19	1
WARS2	163	75	14	250	43	36	363	12
HAO2	1	0	0	1	0	0	2	0
HSD3B2	1	0	0	0	0	0	1	0
HSD3B1	1	0	0	1	0	0	0	0
ZNF697	119	27	10	151	27	28	160	2
PHGDH	6821	485	335	2604	474	625	10933	96
HMGCS2	4	1	0	4	0	0	7	0
REG4	5	0	0	3	0	2	6	0
ADAM30	0	0	0	0	0	0	0	0
NOTCH2	716	131	23	590	104	119	1177	34
SEC22B	295	86	10	425	59	61	571	8
AC253572.1	0	1	0	3	0	0	0	0
NBPF26	9	14	2	79	8	3	22	5
PPIAL4A	0	0	0	0	0	0	0	0
FCGR1B	0	0	0	0	0	0	0	0
FAM72B	25	4	2	8	2	3	41	0
SRGAP2C	293	82	7	340	67	42	525	11
HIST2H3PS2	0	0	0	14	1	0	2	0
FAM72C	29	2	2	3	1	0	63	0
IGKV1OR1-1	0	0	0	0	0	0	0	0
PPIAL4E	0	0	0	0	0	0	0	0
NBPF15	94	42	0	192	37	13	242	4
PPIAL4F	0	0	0	0	0	0	0	0
SRGAP2B	84	57	3	477	90	40	155	18
FAM72D	38	0	3	13	4	0	65	0
PPIAL4D	0	0	0	0	0	0	0	0
NBPF20	52	4	0	28	6	2	80	2
GPR89A	219	33	9	224	43	20	427	5
PDZK1	3	4	0	44	3	2	14	1
CD160	7	1	1	8	1	1	29	0
RNF115	1272	158	76	1221	238	101	2370	29
POLR3C	429	57	23	444	85	39	1026	10
NUDT17	86	6	4	34	9	5	129	0
PIAS3	352	28	18	161	30	9	728	4
ANKRD35	28	6	3	42	7	2	158	1
ITGA10	5	0	0	5	0	0	9	0
PEX11B	270	15	6	151	27	8	522	1
RBM8A	7419	577	417	3912	661	365	14498	101
LIX1L	523	32	17	285	48	22	1026	4
ANKRD34A	6	1	1	5	0	0	21	0
POLR3GL	750	73	24	354	69	45	1711	3
TXNIP	2143	189	51	1386	177	90	5445	24
HJV	1	1	0	2	0	0	2	0
NBPF10	26	1	0	41	10	2	36	0
NOTCH2NLA	2	7	0	31	8	3	2	0
PPIAL4H	1	0	0	0	0	0	0	0
NBPF12	35	30	0	213	35	13	95	4
PRKAB2	571	61	32	335	77	29	1054	9
FMO5	47	17	4	51	12	6	93	4
CHD1L	915	5	42	32	9	2	1809	2
BCL9	452	153	13	897	187	79	958	16
ACP6	123	19	5	112	21	12	373	2
GJA5	62	1	0	39	1	6	53	0
GJA8	0	0	0	0	0	0	0	0
GPR89B	148	28	7	216	32	14	295	2
NBPF11	108	34	6	252	39	11	161	3
PPIAL4G	0	0	0	0	0	1	0	0
NBPF14	39	9	1	85	21	6	189	2
NOTCH2NLB	2	0	0	1	0	0	1	0
NUDT4B	0	0	0	2	0	0	0	0
PDE4DIP	404	26	13	132	28	16	484	2
NBPF9	34	13	1	97	17	12	92	2
NOTCH2NLC	4	22	0	80	12	2	22	3
NBPF19	0	6	0	32	5	8	0	2
PPIAL4C	0	0	0	0	0	0	0	0
FCGR1A	0	0	0	0	0	0	0	0
HIST2H2BF	29	3	1	24	5	4	83	1
HIST2H3D	2	0	0	1	1	0	6	0
HIST2H4A	6	1	0	2	0	1	10	0
HIST2H3C	0	0	0	0	0	0	0	0
HIST2H2AA3	0	0	0	0	0	0	0	0
HIST2H2AA4	0	13	0	47	28	6	0	2
HIST2H3A	0	0	0	0	0	0	0	0
HIST2H4B	0	3	0	16	1	3	0	0
HIST2H2BE	32	4	1	17	4	2	62	0
HIST2H2AC	471	42	13	157	37	26	927	5
HIST2H2AB	30	4	1	13	6	2	90	1
BOLA1	366	24	20	164	32	11	736	2
SV2A	449	26	20	224	32	24	966	4
SF3B4	1598	115	126	632	120	58	3401	22
MTMR11	111	3	3	24	5	4	209	1
OTUD7B	284	66	19	450	72	33	624	14
VPS45	508	76	13	606	80	52	931	24
PLEKHO1	2423	190	52	1140	215	89	5101	31
ANP32E	3923	497	221	2416	517	294	8535	83
CA14	509	55	33	341	54	17	1240	7
APH1A	2164	136	136	666	126	60	4422	24
C1orf54	416	84	32	473	51	30	1218	17
CIART	74	12	10	61	4	3	253	1
MRPS21	6009	560	321	3039	525	284	12861	85
PRPF3	562	68	35	618	98	45	1138	14
RPRD2	629	197	25	1178	203	94	1225	28
TARS2	391	50	24	270	59	22	827	10
ECM1	91	4	9	20	3	5	146	0
ADAMTSL4	61	6	3	29	3	2	134	1
MCL1	1766	156	95	1175	184	83	3316	34
ENSA	2916	315	302	2253	322	159	5527	50
GOLPH3L	404	47	21	313	60	25	839	5
HORMAD1	0	0	0	1	0	0	1	0
CTSS	5	1	0	12	2	1	13	1
CTSK	148	10	8	125	9	12	413	4
ARNT	394	73	21	568	86	46	817	7
CTXND2	0	2	0	0	0	0	2	0
SETDB1	394	91	15	588	84	45	828	15
CERS2	1152	77	70	466	75	39	2358	5
ANXA9	3	1	1	3	0	1	7	0
MINDY1	54	7	3	39	9	3	103	1
PRUNE1	320	26	11	137	31	12	620	4
BNIPL	4	2	0	16	0	2	15	0
C1orf56	472	35	16	217	43	19	961	2
CDC42SE1	1031	60	53	447	71	43	1982	12
MLLT11	3220	215	124	1355	232	136	5940	22
GABPB2	153	13	4	171	24	17	256	4
SEMA6C	186	12	5	88	16	6	390	2
TNFAIP8L2	0	0	0	0	0	0	0	0
SCNM1	943	63	56	471	80	36	2059	15
LYSMD1	125	6	3	44	5	5	221	2
TMOD4	0	0	0	0	0	0	0	0
VPS72	990	88	60	605	105	37	2362	16
PIP5K1A	704	145	32	1426	226	106	1267	37
PSMD4	4374	343	217	2400	399	179	8584	54
ZNF687	193	13	13	101	11	9	369	3
PI4KB	579	35	27	297	45	26	1002	3
RFX5	235	16	16	94	14	8	486	2
SELENBP1	1106	37	33	374	72	46	2386	9
PSMB4	4562	295	348	2161	329	199	10344	54
POGZ	1513	245	55	1815	291	166	2886	52
CGN	178	8	18	80	18	5	294	1
TUFT1	78	6	4	62	9	3	141	0
SNX27	939	78	49	661	122	61	1705	18
CELF3	7	1	0	12	0	0	11	0
RIIAD1	9	2	0	11	0	0	23	0
MRPL9	1966	173	116	894	155	71	3827	18
OAZ3	63	2	3	16	10	3	70	0
TDRKH	56	10	9	58	9	3	133	2
LINGO4	0	0	0	0	0	0	0	0
RORC	0	1	0	6	0	0	0	0
C2CD4D	3	0	1	2	0	0	1	0
THEM5	0	1	0	0	0	0	0	0
THEM4	680	56	25	275	87	50	1237	6
S100A10	45458	1531	1554	17965	3445	2264	61851	298
S100A11	37813	2942	2095	23171	3247	1275	75104	341
TCHHL1	0	0	0	0	0	0	0	0
TCHH	9	1	1	0	0	2	9	0
RPTN	0	0	0	0	0	0	0	0
HRNR	0	0	0	0	0	0	0	0
FLG	0	0	0	0	0	0	0	0
FLG2	0	0	0	0	0	0	1	0
CRNN	0	0	0	0	0	0	0	0
LCE5A	0	0	0	0	0	0	0	0
CRCT1	0	0	0	0	0	0	1	0
LCE3E	0	0	0	0	0	0	0	0
LCE3D	0	0	0	0	0	0	0	0
LCE3C	0	0	0	0	0	0	0	0
LCE3B	0	0	0	0	0	0	0	0
LCE3A	0	0	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0	0	0
LCE2C	0	0	0	0	0	0	0	0
LCE2B	0	0	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0	0	0
LCE4A	0	0	0	0	0	0	0	0
C1orf68	0	0	0	0	0	0	0	0
KPRP	0	0	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0	0	0
LCE1E	0	0	0	0	0	0	0	0
LCE1D	0	0	0	0	0	0	0	0
LCE1C	0	0	0	0	0	0	0	0
LCE1B	0	0	0	0	0	0	0	0
LCE1A	0	0	0	0	0	0	0	0
LCE6A	0	0	0	0	0	0	0	0
AL162596.1	0	0	0	0	0	0	0	0
SMCP	0	0	0	0	0	0	0	0
IVL	0	0	0	0	0	0	0	0
SPRR5	1	0	0	0	0	0	0	0
SPRR4	0	0	0	0	0	0	0	0
SPRR1A	0	0	0	0	0	0	0	0
SPRR3	2	0	0	0	0	0	3	0
SPRR1B	0	0	2	0	0	0	0	0
SPRR2D	0	0	1	0	0	0	0	0
